id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,match_date,home_name,home_code,home_group,home_placeholder,away_name,away_code,away_group,away_placeholder,city_name,country,stadium,home_rank,home_points,away_rank,away_points,rank_diff,points_diff,has_teams,is_mexico
34,34,17,19,12,1,2026-06-20T20:00:00Z,Group E,2026-06-20,Germany,GER,E,FALSE,Côte d'Ivoire,CIV,E,FALSE,Toronto,Canada,BMO Field,10,1724.15,37,1522.48,-27,201.67000000000007,TRUE,FALSE
35,35,20,18,5,1,2026-06-21T01:00:00Z,Group E,2026-06-21,Ecuador,ECU,E,FALSE,Curaçao,CUR,E,FALSE,Kansas City,USA,Arrowhead Stadium,23,1591.73,81,1302.7,-58,289.03,TRUE,FALSE
36,36,24,22,16,1,2026-06-21T06:00:00Z,Group F,2026-06-21,Tunisia,TUN,F,FALSE,Japan,JPN,F,FALSE,Monterrey,Mexico,Estadio BBVA,47,1479.04,19,1650.12,28,-171.07999999999993,TRUE,TRUE
37,37,29,31,1,1,2026-06-21T16:00:00Z,Group H,2026-06-21,Spain,ESP,H,FALSE,Saudi Arabia,KSA,H,FALSE,Atlanta,USA,Mercedes-Benz Stadium,1,1877.18,61,1429.48,-60,447.70000000000005,TRUE,FALSE
38,38,25,27,6,1,2026-06-21T22:00:00Z,Group G,2026-06-21,Belgium,BEL,G,FALSE,IR Iran,IRN,G,FALSE,Los Angeles,USA,SoFi Stadium,9,1730.71,20,1617.02,-11,113.69000000000005,TRUE,FALSE
39,39,32,30,7,1,2026-06-21T22:00:00Z,Group H,2026-06-21,Uruguay,URU,H,FALSE,Cabo Verde,CPV,H,FALSE,Miami,USA,Hard Rock Stadium,17,1672.62,67,1370.49,-50,302.1299999999999,TRUE,FALSE
40,40,28,26,13,1,2026-06-22T04:00:00Z,Group G,2026-06-22,New Zealand,NZL,G,FALSE,Egypt,EGY,G,FALSE,Vancouver,Canada,BC Place,85,1279.25,31,1556.71,54,-277.46000000000004,TRUE,FALSE
41,41,37,39,3,1,2026-06-22T18:00:00Z,Group J,2026-06-22,Argentina,ARG,J,FALSE,Austria,AUT,J,FALSE,Dallas,USA,AT&T Stadium,2,1873.33,24,1585.51,-22,287.81999999999994,TRUE,FALSE
42,42,33,35,9,1,2026-06-22T21:00:00Z,Group I,2026-06-22,France,FRA,I,FALSE,Winner FIFA Playoff 2,FP02,I,TRUE,Philadelphia,USA,Lincoln Financial Field,3,1870,,,-47,470,FALSE,FALSE
43,43,36,34,8,1,2026-06-23T00:00:00Z,Group I,2026-06-23,Norway,NOR,I,FALSE,Senegal,SEN,I,FALSE,New York/New Jersey,USA,MetLife Stadium,32,1553.14,12,1706.83,20,-153.68999999999983,TRUE,FALSE
44,44,40,38,10,1,2026-06-23T06:00:00Z,Group J,2026-06-23,Jordan,JOR,J,FALSE,Algeria,ALG,J,FALSE,San Francisco Bay Area,USA,Levi's Stadium,64,1388.93,28,1560.91,36,-171.98000000000002,TRUE,FALSE
45,45,41,43,4,1,2026-06-23T18:00:00Z,Group K,2026-06-23,Portugal,POR,K,FALSE,Uzbekistan,UZB,K,FALSE,Houston,USA,NRG Stadium,6,1760.38,52,1462.03,-46,298.35000000000014,TRUE,FALSE
46,46,45,47,2,1,2026-06-23T20:00:00Z,Group L,2026-06-23,England,ENG,L,FALSE,Ghana,GHA,L,FALSE,Boston,USA,Gillette Stadium,4,1834.12,72,1351.09,-68,483.03,TRUE,FALSE
47,47,48,46,12,1,2026-06-23T23:00:00Z,Group L,2026-06-23,Panama,PAN,L,FALSE,Croatia,CRO,L,FALSE,Toronto,Canada,BMO Field,33,1539.47,11,1716.88,22,-177.41000000000008,TRUE,FALSE
48,48,44,42,14,1,2026-06-24T04:00:00Z,Group K,2026-06-24,Colombia,COL,K,FALSE,Winner FIFA Playoff 1,FP01,K,TRUE,Guadalajara,Mexico,Estadio Akron,14,1701.3,,,-36,301.29999999999995,FALSE,TRUE
49,49,8,5,13,1,2026-06-24T22:00:00Z,Group B,2026-06-24,Switzerland,SUI,B,FALSE,Canada,CAN,B,FALSE,Vancouver,Canada,BC Place,18,1654.69,29,1559.15,-11,95.53999999999996,TRUE,FALSE
50,50,6,7,11,1,2026-06-24T22:00:00Z,Group B,2026-06-24,Winner UEFA Playoff A,UEPA,B,TRUE,Qatar,QAT,B,FALSE,Seattle,USA,Lumen Field,,,56,1454.96,-6,-54.960000000000036,FALSE,FALSE
51,51,12,9,7,1,2026-06-24T22:00:00Z,Group C,2026-06-24,Scotland,SCO,C,FALSE,Brazil,BRA,C,FALSE,Miami,USA,Hard Rock Stadium,38,1506.77,5,1760.46,33,-253.69000000000005,TRUE,FALSE
52,52,10,11,1,1,2026-06-24T22:00:00Z,Group C,2026-06-24,Morocco,MAR,C,FALSE,Haiti,HAI,C,FALSE,Atlanta,USA,Mercedes-Benz Stadium,8,1736.57,83,1294.49,-75,442.0799999999999,TRUE,FALSE
53,53,4,1,15,1,2026-06-25T03:00:00Z,Group A,2026-06-25,Winner UEFA Playoff D,UEPD,A,TRUE,Mexico,MEX,A,FALSE,Mexico City,Mexico,Estadio Azteca,,,16,1675.75,34,-275.75,FALSE,TRUE
54,54,2,3,16,1,2026-06-25T03:00:00Z,Group A,2026-06-25,South Africa,RSA,A,FALSE,South Korea,KOR,A,FALSE,Monterrey,Mexico,Estadio BBVA,60,1432.76,22,1599.45,38,-166.69000000000005,TRUE,TRUE
55,55,18,19,9,1,2026-06-25T20:00:00Z,Group E,2026-06-25,Curaçao,CUR,E,FALSE,Côte d'Ivoire,CIV,E,FALSE,Philadelphia,USA,Lincoln Financial Field,81,1302.7,37,1522.48,44,-219.77999999999997,TRUE,FALSE
56,56,20,17,8,1,2026-06-25T20:00:00Z,Group E,2026-06-25,Ecuador,ECU,E,FALSE,Germany,GER,E,FALSE,New York/New Jersey,USA,MetLife Stadium,23,1591.73,10,1724.15,13,-132.42000000000007,TRUE,FALSE
57,57,22,23,3,1,2026-06-26T00:00:00Z,Group F,2026-06-26,Japan,JPN,F,FALSE,Winner UEFA Playoff B,UEPB,F,TRUE,Dallas,USA,AT&T Stadium,19,1650.12,,,-31,250.1199999999999,FALSE,FALSE
58,58,24,21,5,1,2026-06-26T00:00:00Z,Group F,2026-06-26,Tunisia,TUN,F,FALSE,Netherlands,NED,F,FALSE,Kansas City,USA,Arrowhead Stadium,47,1479.04,7,1756.27,40,-277.23,TRUE,FALSE
59,59,16,13,6,1,2026-06-26T05:00:00Z,Group D,2026-06-26,Winner UEFA Playoff C,UEPC,D,TRUE,USA,USA,D,FALSE,Los Angeles,USA,SoFi Stadium,,,15,1681.88,35,-281.8800000000001,FALSE,FALSE
60,60,14,15,10,1,2026-06-26T05:00:00Z,Group D,2026-06-26,Paraguay,PAR,D,FALSE,Australia,AUS,D,FALSE,San Francisco Bay Area,USA,Levi's Stadium,40,1501.5,27,1574.01,13,-72.50999999999999,TRUE,FALSE
